"              播放->跳略播放->跳略播放 开|关
Ctrl+Alt+A          配置/语言/其他->收尾处理->依次切换收尾方式

B              播放->AB 区段循环

Ctrl+B            视频->图像处理->软模糊

Alt+B          字幕->字幕风格->粗体

Ctrl+Alt+B          视频->下边距->按序切换边距

C              播放->播放速度->加速+

Shift+C        声音->声音处理->晶化

Ctrl+C            视频->图像截取->复制当前源画面

Alt+C          视频->视频录制->录制视频...

Ctrl+Alt+C          视频->图像截取->复制当前实画面

D              播放->定位->上一帧

Shift+D        声音->声音处理->降噪

Ctrl+D            打开->DVD 设备

Alt+D          打开->设备设置...

Ctrl+Alt+D          打开->蓝光设备

E              视频->亮度+1%

Shift+E        声音->均衡器

Ctrl+E            视频->图像截取->截存当前源画面

Alt+E          字幕->字幕浏览器...

Ctrl+Alt+E          视频->图像截取->截存当前实画面

F              播放->定位->下一帧

Ctrl+F            滤镜->滤镜/解码器管理...

Alt+F          字幕->字幕风格->字体设置...

G              播放->定位->手动定位...

Shift+G        声音->音轨->声音录制...

Ctrl+G            视频->图像截取->连续截图...

Alt+G          电视->频道控制->频道管理...

H              播放->章节/书签

Shift+H        声音->音调->低音

Ctrl+H            视频->图像处理->去块(提高画质)

Alt+H          字幕->显示字幕

I              视频->色彩度-1%

Ctrl+I            视频->反交错->切换反交错方式

J              视频->3D 视频输出

Shift+J        声音->音调->高音

Ctrl+J            打开->摄像头/其他设备

K              视频->图像截取

Shift+K        声音->音调->默认音调

Ctrl+K            打开->数字TV(BDA 设备)

Alt+K          视频->图像旋转->按序选择旋转方式

L              字幕->选择字幕

Shift+L        配置/语言/其他->语言

Ctrl+L            视频->图像处理->电平控制

Alt+L          字幕->选择字幕->依次选择字幕

M              声音->静音

Ctrl+M            视频->图像处理->瞬态降噪

Ctrl+Alt+M          声音->系统音量->静音

Ctrl+Alt+Shift+M  声音->系统音量->静音

N              电视->频道控制

Shift+N        声音->声音处理->规格化

Ctrl+N            视频->图像处理->3D 降噪

Alt+N          视频->图像截取->创建缩略图...

O              视频->色彩度+1%

Ctrl+O            打开->打开文件...

Alt+O          打开->打开字幕...

P              播放->章节/书签->添加书签

Shift+P        视频->像素着色->调整尺寸前的着色切换

Ctrl+P            视频->图像处理->上下翻转

Alt+P          字幕->手动输入字幕...

Ctrl+Alt+P          视频->像素着色->调整尺寸后的着色切换

Q              视频->图像属性复位

Ctrl+Q            视频->裁剪/拉伸->图像缩放设置...

R              视频->对比度-1%

Shift+R        声音->声音处理->混响

Ctrl+R            视频->图像处理->锐化

S              视频->像素着色

Ctrl+S            打开->采集器

Ctrl+Shift+S    字幕->保存字幕->按影片名称保存

Alt+S          字幕->保存字幕->回写SMI字幕

Ctrl+Alt+S          字幕->保存字幕->另存字幕为...

T              视频->对比度+1%

Shift+T        声音->声音处理->左右声道互换

Ctrl+T            配置/语言/其他->置顶方式->切换最前端

U              视频->饱和度+1%

Ctrl+U            打开->打开链接...

V              视频->选择图像

Shift+V        声音->声音处理->语音消除

Ctrl+V            打开->打开剪贴板

Alt+V          视频->选择图像->图像顺序选择

W              视频->亮度-1%

Ctrl+W            打开->模拟TV

X              播放->播放速度->减速-

Shift+X        声音->开启声音处理滤镜

Ctrl+X            视频->图像处理滤镜->依次切换图像处理滤镜

Y              视频->饱和度-1%

Ctrl+Y            打开->重开当前/最后文件

Ctrl+Alt+Y          打开->重载字幕

Z              播放->播放速度->正常/之前的速度

Shift+Z        播放->定位->时间场景浏览...

Ctrl+Z            视频->图像处理->左右翻转

Alt+Z          播放->定位->章节/书签场景浏览...

Numpad 0        帧位->预置->选择预置顺序

Numpad 1        帧位->全帧-

Ctrl+Alt+Numpad 1 屏幕->窗口定位->置于↙

Numpad 2        帧位->帧高-

Ctrl+Numpad 2    帧位->偏移↓

Alt+Numpad 2    字幕->字幕风格->上下边距-

Ctrl+Alt+Numpad 2 屏幕->窗口定位->位移↓

Ctrl+Alt+Numpad 3 屏幕->窗口定位->置于↘

Numpad 4        帧位->帧宽-

Ctrl+Numpad 4    帧位->偏移←

Alt+Numpad 4    字幕->字幕风格->左右边距-

Ctrl+Alt+Numpad 4 屏幕->窗口定位->位移←

Numpad 5        帧位->帧位 之前/复位

Ctrl+Numpad 5    帧位->帧位居中

Ctrl+Alt+Numpad 5 屏幕->窗口定位->外框居中

Numpad 6        帧位->帧宽+

Ctrl+Numpad 6    帧位->偏移→

Alt+Numpad 6    字幕->字幕风格->左右边距+

Ctrl+Alt+Numpad 6 屏幕->窗口定位->位移→

Ctrl+Alt+Numpad 7 屏幕->窗口定位->置于↖

Numpad 8        帧位->帧高+

Ctrl+Numpad 8    帧位->偏移↑

Alt+Numpad 8    字幕->字幕风格->上下边距+

Ctrl+Alt+Numpad 8 屏幕->窗口定位->位移↑

Numpad 9        帧位->全帧+

Ctrl+Alt+Numpad 9 屏幕->窗口定位->置于↗

Add            帧位->全帧+

Ctrl+Alt+Add    屏幕->窗口+

Subtract        帧位->全帧-

Ctrl+Alt+Subtract 屏幕->窗口-

F1                关于...

Ctrl+F1        属性...

Ctrl+Alt+F1      直播->采集器I

F2                打开->打开文件夹...

Ctrl+Alt+F2      直播->采集器II

F3                打开文件...

Ctrl+Alt+F3      直播->采集器I开始

F4                关闭

Ctrl+Alt+F4      直播->采集器II开始

F5                选项...

Ctrl+F5        比例->依次切换比例模式

Ctrl+Alt+F5      直播->采集设置...

F6                列表...

Ctrl+F6        比例->依次切换比例

F7                控制...

F12            打开->简索->简索文件...

Ctrl+F12        打开->简索->简索菜单...

Alt+F12        打开->打开远程连接...

Scroll            配置/语言/其他->播放信息

Shift+,        声音->声音匹配(同步)->滞后0.05 秒

Ctrl+,            字幕->字幕同步(帧率)->滞后5 秒

Ctrl+Alt+,          字幕->字幕同步(帧率)->上一字幕同步

Shift+.        声音->声音匹配(同步)->超前0.05 秒

Ctrl+.            字幕->字幕同步(帧率)->超前5 秒

Ctrl+Alt+.          字幕->字幕同步(帧率)->下一字幕同步

Shift+/        声音->声音匹配(同步)->复位

Ctrl+[            播放->AB 区段循环->将起点步退0.1 秒

Ctrl+Alt+[          播放->AB 区段循环->将循环区步退0.1 秒

Shift+\        播放->AB 区段循环->编辑AB区段循环列表...

Ctrl+\            播放->AB 区段循环->循环当前字幕

Ctrl+]            播放->AB 区段循环->将止点步退0.1 秒

Ctrl+Alt+]          播放->AB 区段循环->将循环区步进0.1 秒

作者：_灯火阑珊处
链接：https://www.jianshu.com/p/a598c0b153c5
来源：简书
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
